comunidad,region,horse_power,km,km/year,latitud,longitud,population_region,number_cars,price(€),percentage_professional,years_old,adds_per_1000_people
Aragón,Teruel,150.0,36000.0,14000.0,40.687042076271325,-0.8541633067796648,146751,162.0,22900.0,93.8,3.0,1.1
Valencia,Castellon,125.5,61000.0,13693.3,40.148693481481814,-0.20596878888889247,602301,646.0,13150.0,86.5,4.0,1.1
Andalucía,Cadiz,120.0,93189.0,17460.5,36.596064772726905,-5.718966590909079,1230594,805.0,11900.0,80.5,4.0,0.7
Extremadura,Caceres,130.0,104075.0,19733.3,39.83197045662056,-6.090622922374377,413633,491.0,11900.0,86.4,4.0,1.2
Castilla La Mancha,Cuenca,130.0,85500.0,14833.3,39.934110840336054,-2.223131373949576,217363,116.0,13000.0,75.9,4.0,0.5
Castilla León,Burgos,150.0,105309.5,19060.4,42.24822687331521,-3.5964776442048456,375563,326.0,16900.0,91.1,4.5,0.9
Madrid,Madrid,130.0,107000.0,16218.6,40.5455789385539,-3.694533351955084,6386932,7808.0,11495.0,88.3,5.0,1.2
Castilla La Mancha,Guadalajara,120.0,76000.0,13750.0,40.81734131944447,-2.70710835069445,246151,127.0,10300.0,69.3,5.0,0.5
Canarias,Santa cruz de tenerife,115.0,87848.5,13600.0,28.373776851851503,-17.046551111110958,1020490,936.0,8499.5,73.6,5.0,0.9
Valencia,Valencia,120.0,90000.0,14375.0,39.29048270676835,-0.5411388932330715,2575362,2387.0,10900.0,86.6,5.0,0.9
Andalucía,Sevilla,120.0,99921.5,17030.7,37.4080583809544,-5.730990742857104,1900224,2814.0,10599.5,89.2,5.0,1.5
País Vasco,Vizcaya,130.0,99673.5,15951.1,43.271550892858045,-2.8081731071428897,1152658,1490.0,11738.5,91.7,5.0,1.3
Aragón,Huesca,130.0,59804.0,11120.0,42.15935742574259,-0.02778669950495038,228409,111.0,14000.0,77.5,5.0,0.5
Canarias,Las palmas,110.0,83650.0,14810.8,28.270987058823312,-14.947298235294374,1083502,878.0,7990.0,75.6,5.0,0.8
País Vasco,Guipuzcoa,127.5,106400.0,14764.7,43.146699204545506,-2.173025352272716,705698,246.0,10900.0,70.3,6.0,0.3
Castilla León,Salamanca,130.0,110000.0,17738.1,40.79844168508238,-5.959212911602209,354608,669.0,10900.0,93.9,6.0,1.9
Extremadura,Badajoz,120.0,135000.0,19076.0,38.67795475609796,-6.151616371951187,688777,691.0,8900.0,79.3,6.0,1.0
Andalucía,Malaga,122.0,109990.0,15289.9,36.78776810000089,-4.652634330000126,1593068,1658.0,9500.0,76.2,6.0,1.0
Catalunya,Barcelona,130.0,85000.0,12842.9,41.68081720257425,2.032264954983806,5487935,2769.0,10500.0,83.7,6.0,0.5
Andalucía,Cordoba,120.0,110000.0,14454.5,37.90880106666715,-4.7303265866667,803998,863.0,10000.0,84.9,6.0,1.1
Aragón,Zaragoza,120.0,102189.5,14393.4,41.56011959044314,-1.2738627539249354,970313,900.0,9300.0,86.1,7.0,0.9
Galicia,A coruña,125.0,128000.0,15272.4,43.131833617021975,-8.470293329787353,1145488,1063.0,10900.0,81.8,7.0,0.9
Murcia,Murcia,120.0,125000.0,15788.0,37.98935311111082,-1.3214308177777954,1446520,1191.0,9490.0,77.4,7.0,0.8
Castilla La Mancha,Toledo,120.0,136000.0,15347.5,39.8932493137254,-4.257048818627467,689635,377.0,9500.0,70.3,7.0,0.5
Galicia,Pontevedra,132.0,127967.0,15773.5,42.37502629032291,-8.573064725806395,959764,596.0,10900.0,74.7,7.0,0.6
Galicia,Ourense,130.0,127000.0,16421.1,42.22960347826102,-7.732424923913028,335642,203.0,10990.0,78.8,7.0,0.6
Castilla La Mancha,Albacete,130.0,110594.0,13316.6,38.88627988505771,-1.9084826448275312,400891,1041.0,9950.0,94.6,8.0,2.6
Andalucía,Huelva,120.0,136000.0,15944.4,37.62784506329094,-6.789093215189905,513403,301.0,9600.0,68.8,8.0,0.6
Castilla León,Soria,120.0,172500.0,15900.0,41.67359513661201,-2.517648043715847,95101,16.0,9095.0,62.5,8.0,0.2
Catalunya,Lleida,130.0,99283.0,13826.8,41.88471255411245,1.0181345324675357,436402,258.0,11100.0,77.1,8.0,0.6
Navarra,Navarra,120.0,122800.0,16230.8,42.698746470588766,-1.734013345955874,630578,885.0,8000.0,87.6,9.0,1.4
Valencia,Alicante,125.0,123000.0,13250.3,38.54011914893635,-0.4391415666666573,1917012,1517.0,8500.0,82.2,9.0,0.8
Andalucía,Almeria,130.0,149250.0,16116.7,37.14786872548983,-2.417259578431391,684426,448.0,8600.0,64.5,9.0,0.7
Andalucía,Granada,120.0,125000.0,14556.6,37.18073380952404,-3.4157322261905043,907428,696.0,8800.0,68.5,9.0,0.8
Castilla León,Zamora,140.0,153000.0,16357.1,41.7306396370968,-5.8578153266129105,195665,89.0,9000.0,67.4,9.0,0.5
Castilla León,Valladolid,130.0,134000.0,14677.2,41.6508055111113,-4.822940519999979,532575,369.0,9200.0,81.0,9.0,0.7
La Rioja,La rioja,136.0,136000.0,14127.0,42.342209885057564,-2.6150260344827543,321702,145.0,8000.0,69.0,10.0,0.5
Catalunya,Girona,120.0,123000.0,13183.3,42.130854343891585,2.7688703846154,747782,239.0,7800.0,67.8,10.0,0.3
Galicia,Lugo,130.0,145000.0,14545.5,43.05509044776091,-7.440987417910482,355195,357.0,9999.0,79.8,10.0,1.0
Asturias,Asturias,130.0,145000.0,14936.5,43.35868871794826,-5.970989461538374,1085289,856.0,8900.0,78.0,10.0,0.8
Islas Baleares,Illes balears,110.0,113000.0,12800.0,39.620539701492724,2.927164104477617,1095426,405.0,6900.0,62.2,10.0,0.4
Catalunya,Tarragona,125.0,104000.0,13414.8,41.16155306010879,0.9744719890710454,803301,496.0,7445.0,78.6,10.0,0.6
Cantabria,Cantabria,120.0,153500.0,16272.1,43.2710576470586,-3.9443390784313785,589235,336.0,7900.0,72.0,10.0,0.6
Andalucía,Jaen,120.0,145500.0,14350.0,37.97656391752603,-3.4621827938144514,669782,522.0,6999.5,73.4,10.5,0.8
País Vasco,Alava,130.0,140000.0,13333.3,42.76694627450999,-2.6782650980392186,313819,243.0,6990.0,75.7,11.0,0.8
Ceuta y Melilla,Ceuta,105.0,150000.0,15000.0,35.88829,-5.316195,78674,3.0,3800.0,0.0,11.0,0.0
Castilla León,Leon,140.0,150000.0,13125.0,42.531182511848485,-5.79282713270141,500169,215.0,8990.0,66.0,11.0,0.4
Castilla León,Segovia,140.0,160000.0,15882.4,41.19537478468901,-4.0374931722488085,164854,57.0,6800.0,75.4,11.0,0.3
Castilla León,Avila,115.0,151000.0,14334.0,40.629091774193554,-4.9808934314516184,171680,52.0,3925.0,53.8,12.0,0.3
Castilla León,Palencia,120.0,173500.0,14298.6,42.312108324607365,-4.540178282722517,173306,80.0,5725.0,80.0,12.0,0.5
Castilla La Mancha,Ciudad real,125.0,182000.0,16875.0,38.91731754901958,-3.7711414999999993,527273,261.0,4790.0,69.7,12.0,0.5
Ceuta y Melilla,Melilla,163.0,125000.0,6900.0,35.29234,-2.938794,73460,5.0,3700.0,40.0,18.0,0.1
